,AuthorName,Comment
4886,Miraculous Juju,SJW : And why is there a white man ? And why these characters are cis-gender ? I hope at least they are gay.
4887,Mahir Latif,"""Men in Black has been compromised. Trust no one"" 

Yup, Neeson is one of the bad guys."
4888,Dixybit,"A part les gadgets qui sont juste wouaw.....Le film ne me dit rien, surtout avec ces acteurs là.  C'est pas du M.I.B , c'est pas crédible"
4889,Saurabh More,She is a queen!! Lol!!😂😂
4890,hello angel,so this is what happened after thor resigned as an avenger
4891,우마루.,Thor and Valkyrie?!!
4892,Ishwar Sharma,"Surely No genders difference in this movie ""Men in Black"" which we can seen in WWE too. Go deep down you will found NEW WORLD ORDER!!!"
4893,Jao Aceu,DHAAA.. not in this country
4894,Manu Gulati,Thor and Valkyrie lol
4895,Akram Malik,Endgame's spoiler at 1:29 min.
4896,Michael Arat,I hope Led Zeppelin’s Immigrant Song plays somewhere in this film and a Korg cameo.
4897,Shockwave Gaming,The MARVEL cast has taken over the world.
4898,Buckfutter _12,Looks like a show
4899,Totally not ShinegamiKun,Thor and Valkyrie r bacc bois can't w8
4900,Joe Finamore,Indeed She Is...
4901,TJ Tuber,Here after Endgame
4902,Yudha Nursyam,Thor and valkryrie
4903,Starfire,A re-imagining of thor ragnorak
4904,U want RANDOM,"Yeah valkary is now the queen of Asgard
U r right"
4905,Memestealer696,learn to type you worthless scrub
4906,U want RANDOM,@chookalatemuffin bro marvel itself launch a 15 sec trailer full of spoiler 😂😂🤣
4907,chookalatemuffin,bro don't spoil for people who haven't watched it yet
4908,Evelyn Winters,ikr
4909,ayyy blinkin,Don't let this trailer distract you from the fact that will Smith made an mib music video where a big CG alien screams in his face and then they sing and dance with a flash mob of mib agents. It's canon!! You can't tell me it's not!!
4910,S News,Best of best is will Smith only in MIB
4911,Munawir Lauma,thor an valkyrie..
4912,Mr. One,555
4913,William Winder,Agent M. I guess now that Michel is gone the letter is open.
4914,AWSOMUS MUSIC.,Transforming sound....
4915,Diana Prince,"MIB without will smith
Unwatchable"
4916,ivan yg,"This is a part of the MCU , they traveled into an alternate timeline and cosplay as agents."
4917,Junet Sapri,"I like old movies MIB, not now.... I hate marvel actors...."
4918,sundar indian,What a thinking gun attached in the car 😎😎😎😎
4919,Josh Neal,Anyone else not sure if this trailer is a joke or not
4920,Shamik Bhattacharyya,"WHAT THE HELL, CHRIS - HEMSWORTH IS DOINING ?"
4921,Jerry Jiahao,Fat Thor transform into MIB agent
4922,Muhammad Nur Yusof,Thor n Valkyrie
4923,NHFuad,Thor is back hahah
4924,Agaa Latyf,im so happy becuse new men in black im all ways see all men in black
4925,ROB STAN,Where is the Will S. Music ?
4926,Varun Pasi,So basically it's Gog taking place on Earth.Maybe Thor is practicing a bit before he could take Galactus
4927,Kevin Van Vooren,Why?
4928,Stefan,Meh.
4929,Ari Nawaf,Where is will smith?
4930,Andrew Azis,Much better than the first trailer. Now I wanna watch this movie.
4931,crazysoapguy 6,"Men in Black is my favorite movie of all time, so I hope this is good."
4932,Roshan Bhattarai,Crossover nobody asked for!
4933,Malathi Mani,"Couldnt match will smith tho
No offence..."
4934,Zameer Jaffer,Is this supposed to be Thor Ragnarok 2???
4935,Ravi Sarpanch,Will smith ???
4936,buzman1985,Thanks for fucking up a franchise.
4937,don't get offended,This might be the best one they've ever made
4938,Divine Guardiano,"Oh...my love Thor, and my fave Valkyrie is here!!!!!!!!"
4939,Rishabh Kumar,Will smith is the best for MIB...
4940,Mr. Smit tv,will smith is best for MIB
4941,Miko Na,The trailer itself is a dejavu lol.
4942,DroopyCock Flock,"Kangaroo and whamen n1993r, really?"
4943,iraq baghdad,1:07 legend scene i love it
4944,4x4 Nut,MIB got woke!
4945,Nikunj Dixit,Who wants to bet that Liam Neeson is the villain?
4946,Claude Canilao,Thor & Valkyrie
4947,vishnu nair,MIB without  will smith 👎
4948,deberjeet usham,The asgardians
4949,Dan Brown,Can somebody tell me which is the song being played in the background
4950,wildan rafli,WTF(Where they from)
4951,Tiara Anissa,Thor and Valkyrie reunited 👏 they should invite the others too 😂
4952,Walt Kowalski,"OMG!! *THOR LEBOWSKI* IS SLIM !! 
WTF ?"
4953,wolfydan121,🤮🤢🤢🤢🤢🤮🤮🤮🤢🤮🤢😕
4954,Pooper Scooper,Totally trash. Missing the old Men In Black.
4955,Dominikmb17,Meh
4956,Wendy Alejandra,Where’s will smith 🤨
4957,Mickice,MIB + WIB
4958,Sonali Ray,"The new Thor: far from home trailer looks amazing


Edit: Never seen this amount of likes thnx"
4959,John Doe,@Bellz _ have you seen in face Chris Hemsworth???? absolutely not suited for the part.... and you can tell even from the trailer...
4960,Bellz _,"@John Doe  LMAO, have you seen the movie or what? 😂😂😂😂😂"
4961,John Doe,This movie it's horrible in everything...from the scenes to FX to the script. it's the same modern hollywood action movie under steroids. The only exception here is for Tessa Thompson that it's amazing for this part....
4962,Shamool k,After endgame?
4963,Chicagoguy84,Pass..........Ill wait for it on Netflix in 2020
4964,Malik 11,Di menit ke 2:03 ada alien berjanggut yg jadi villain utama di MIB 3. Apa ada yg melihatnya juga??
4965,Anurag,Nice .I'll watch
4966,Tommy Wiseau,Suit in black plus white guy.
4967,banks74016,Pass
4968,Grymus,"I'll be enjoying 2 films this year and this mess is not one of them.
Wick III & Once Upon a Time in Hollywood will be getting my money when they hit theaters"
4969,Johnathan Carman,its not gonna do good in the usa. save your dollars and watch it at the tv or the dollar theater
4970,R.A.R animations,A Will smith cameo wud be awesome
4971,Akash Kumar,Who is coming here after watching  thor in Endgame?
4972,dany7070 Sk,Does someone noticed subway surfer background music ???
4973,Ianmolten Pandaria,I know this is not a love story movie but.. I ship them <3
4974,Dwiki Halla,So this is what Thor and Valkyrie's been up to after Endgame
4975,Time Pass,"You r a queen
After watching endgame
Oo it was a spoiler😂"
4976,SWiTCH,Liam Neeson in a MIB film
4977,Damian Mazotti,I like him more as thor 😞
4978,Kit Walker,This won't be as good as it was without Tommy Lee and will Smith!
4979,Kit Walker,"I'm open to change but they should've let it rest with MIB 2, MIB 3 was good but I believe they've milked MIB enough. :P haha"
4980,eastportland,Open your mind. Embrace change.
4981,Zainab Ghazali,Whoa chrisssss
4982,alex unger,Liam Neeson's voice is so epic.
4983,Chuy R,This happens when you mess your timeline
4984,SRN DA NOOB,Those cute aliens
4985,Gem thomas,Where is Will  Smith.. MIB is incomplete without him!
4986,SRN DA NOOB,Maybe that's his daughter in the story... who knows
4987,Jon Webster,Wait for it to come out in Redbox...doesnt LOOK worth $9.50....
4988,unbelievable world,Who miss will smith in Men in Black series specially this movie
4989,superz04,"i loved the old movies, im interested in what they bring out"
4990,ggcapriful,Will smith stuck in the magic lamp
4991,Seantizy _,Me
4992,Shahaneh Limonadi,I miss Agent L and never got to see her in action except in the cartoon.
4993,Shahaneh Limonadi,@tanjir ahmed its a sequel of men in black. The movies are about the agency after all.
4994,The OPFragger,Thor is fat
4995,Serenidad y paciencia,sorry but it looks soo lame
4996,Pandi Viper,We miss will Smith...
4997,Misc 04,Name of the show is MEN IN BLACK what the hell Valkyrie is dowing here
4998,Pr0 T3uS,Odd kitchen🤨
4999,JMPJOSE,Looks funny.
5000,Augustin peter,"Everyone is busy talking about thor and valkyrie.....but not us
.
.
.
.
.
. 
But not us
.
.
.
IRON MAN FANS🔥❤️ 
RDJ FOREVER🔚🎮"
5001,Michael M,L I L   G R E E N   P R I S M O
5002,Tuhin Ahmed,Lets give white actor more role as if they are not enough.
5003,KYB77,The whole movie used leftover jokes from thor 3
5004,Israfael D.,"Why, please God... Why?"
5005,Ujan Biswas,I miss his beer belly from end game
5006,Tiana Queen,Where are the men I only see one man and a hideous looking woman. Nice job ruining another one of my childhood movies.
5007,videoplusdvd,"What have they ruined? You have the choice to not see it, and no harm shall come to you."
5008,Aditya gupta,Thor look thin
5009,General Grievous,More like feminist in black
5010,PristinePerceptions,More like Mission Impossible in Black! Seems to be fun - just not Men in Black.
5011,Beep Boop,"It sounds ugly and has nothing to do with the first movie, called men in black.."
5012,Beep Boop,Why mission impossible in black?
5013,Derek Freeman,Garbage Valkyrie was awful in Thor
5014,tanya ali,WTF :D
5015,John Q,Thor and valkerie
5016,Cheesy Maccool,"Spoiler:

They find out that Will Smith really believes in Aliens Gods!🙏"
5017,Tony Camacho,This trailer is hard to watch... CRINGE... literally had to watch the whole trailer in 3 sittings... 😐
5018,fortnite isschool,new asgard
5019,fortnite isschool,thor and valkyrie
5020,Pro vai,Asguardians guarding Earth. How beautiful is that.
5021,Γιωργος Ξανθιδης,Oh Thor is in shape again
5022,bishkaaniruddin juniorschool,Joss
5023,Yash 2k19,Thor and valkyrie here mib will Smith promo for new mib members apperence MIB secret agent
5024,Joseph Mel Boncolmo,"Still MIB without Will Smith is kinda sad to think.
So therefore I will not think if I watch this movie. 😂😂"
5025,Deus Vult,Agent Hemsworth
5026,Gabriel Yulaw,Interesting that Les Twins in this movie was also in the music video for Missy Elliot's track playing in the background.
5027,Yukthik,Hence  proved thor survives the end game
5028,STRiZZY,Awful
5029,Carson Shallenberger,Tessa Thompson has about as much charisma as a paper bag.
5030,Joseph Matthews,Why does chris evans without facial hair look like andrew reynolds
5031,Anik,Want to see Smith in this at least for 1 second 😥
5032,Amir Ali,I loved dinesh's voice with that goblet. No no no..
5033,Cyberphobe,"Not gonna lie, this trailer didn't do it for me, and not just because it seems like an SJW creamed all over it. First, an MIB movie without Will Smith is _NOT_ an MIB movie. Second, the whole Marvel tone they're clearly going for doesn't fit the tone of MIB. I will be passing on this one. Maybe next time Sony."
5034,Mihir Shwedank,"1:30 
“You’re a queen” 

Thor ACTUALLY made Valkyrie the queen of Asgard at the end of endgame!!(Sorry for the spoiler)"
5035,Xx_DoubleS_xX,Why would you do that🙁😭😭😭 I have not watched fucking endgame
5036,Tony Asis,Im excited for this! Taken 3: Ragnarok
5037,agent 47,"+Tony Asis

you mean Taken 4"
5038,Atul Anurag,isn't the white hair woman oliver queen's mom in arrow?
5039,Msms,The entitlement in this generation is clearly shown in this movie compared to the others
5040,Eklavya Sharma,Why is Will Smith not there?
5041,The Roaster,They can't replace the og black suited mib men's You know what I mean???
5042,AMIN ZAKARIA,Is it thor and valkyrie on other universe?
5043,DevonZWay,I can already tell this movie is going to suck.
5044,Ruchi Dave,"Cmon Tessa's hairstyle makes her look like a mentally disturbed personality. 


NO OFFENSE"
5045,Arched Phoenix,It just got real
5046,Prince Kumar,Thor
5047,I Am God,"plot twist: this movie happens because of the alternate universe that the avengers create during time travel, and Thor and Valkyrie slipped to this men in black universe."
5048,GalacticBananas,Has this one got the sound then
5049,Gogo-Miyo,Where's Hulk and Loki ???
5050,Garrett Patterson,Mib but has a female main character. Makes sense.
5051,Professor Panda,"Yes we get it, actors play different roles"
5052,Gherson S. Altamirano,MEN IN BLACK IS THE COME BACKK OHH GOOD DANMED M.I.B👉👍🙌
5053,Rocio cumplido gonzalez,Why do they keep ruining all the good movies?
5054,Clone Loli,Where'd the no music version go? It was better.
5055,ANKUR BHARGAVA,After will Smith exit why still movie name is man in Black.
5056,KING YOgesh,is that THOR : RAGNAROK II   ??
5057,stanley Howe,This some bullshit.... I definitely will never watch this movie
5058,surajit Mondal,Men and women in black.
5059,Slow Swimmer,Where's Hulk then?
5060,akky jain,When name is men i black what women is doing
5061,Christian Cullen,Feminism destroys everything. It's the MEN in black.
5062,kychu bangtan,Will smith be saying hi
5063,1234 5678,Y tho
5064,Rowthiram pazhagu,1:26 Valkyrie queen moment just like Avengers:endgame ❤️
5065,DJ METHOD,FLOP
5066,Shivraj Mulik,"Shouldn't Men in Black consist only MEN in Black and not other way round just for sake of equality? 
And I miss Will Smith here :("
5067,Joebert Hapa,Thor lost alot of weight here after endgame.
5068,ßermee,Where’s Korg and Meik?
5069,dr szataerotoman666 polanski adriplayboy,kiler weapon asgard know secret agent men black men and women black sword arm galaxy be explosion action humor think be grate return men in black
5070,Zack Alghamdy,"It’s called men in black, why they gotta make everything political and push their progressive agenda"
5071,sachin yadav,Endgame is bullshit made by marvel...lacks logic
5072,Chani lioo,"*Welcome to the MIB Universe,Thor & Valkyrie!*"
5073,Chani lioo,"Who is here after ""Avengers Endgame"" ?!"
5074,kartheek sai,Asgardians in black😎😎
5075,Chani lioo,I'm more excited than ever!
5076,NOUM,Will Smith is the true OG
5077,Ram Vidar,Can anyone tell wat is that song used in the trailer
5078,Андрей Роков,🤢🤢🤢🤢🤢😵😵😵😵😵😵😵
5079,Андрей Роков,No! No! Noooooo!!!!!
5080,DoubleATech,"1:31 ""Are you a Queen"" 
""Indeed she is"" 

#dontspoiltheendgame"
5081,BHEEGHARAN __e_d_i_t_z_,"""I LIKE THIS ONE"""
5082,stfunub646,Looks shitty
5083,coolingcrystal2008,We need to protect the earth! yeah well said Thor!
5084,Siam Hossain,Lame Not Good
5085,Siva Rollins,Ganga star in vages game like this
5086,Sumanth Kondam,We need Will Smith and that white guy back 😑
5087,Jackie Chai,Man in white
5088,PREM L SUNDEEP,BGM mind blowing bass.. 💫
5089,The Alchemist,Dogshite
5090,Manpreet Singh,Perfectly done
5091,gooboberti,Car commercial.
5092,Jose Alba,"Ok looks good 👍, please have a cameo with agent J & K."
5093,WordWonder G,Put in Idris Elba and Tom Hiddleston and we all would be happier :)
5094,CM Puro Random,No estabas con los guardianes
5095,Matthew Sultan,Valkrie
5096,Trường An Phạm,Thor and valkyrie?
5097,Media Buster,Another stupid WOKE movie..
5098,la la la laila,I thought Thor already joined the guardians lol (u get what I mean)
5099,FightOn2002,Asgaurdian in black...
5100,jam vwj,Kumail Nanjiani has made an entrance?!
5101,Garou __,1:29 *clucking noises* da queen
5102,El Tio,And Will Smith?
5103,Mohit Patil,So they need to do this after endgame
5104,GabeLogan,Woke MiB
5105,BIG BRAIN MUSIC,This Is What I Waiting For😀
5106,Anika Kulkarni,Looks like Thor lost some weight😂
5107,Mangal Kompalwar,What u both doing here u have to kill thanos
5108,Ajinkya Maurya,😶
5109,J Gady,Just thor and valkrie being an agent
5110,Nirmal Singh,After rocket ....New small friend of Chris hemsworth
5111,Dear Cybelle,I'm just gonna say it. THIS MOVIE IS ALREADY GONNA FLOP ON THE CRITICS.
5112,Debbie Olton,Horror movie0s
5113,Yash Jobanputra99,Can anyone help me find this music in Trailer🤔?Thank you
5114,Amit Kumar Khare,"Well, this is dissappointing."
5115,Os Fi,"Perdió la escencia , no tiene nada que ver con MIB
Lo hubieran dejado en la pasada , fue un buen final , esto ya no tiene nada que ver."
5116,Paul Medina,Meh.
5117,Yashwant Garud,"people in black, and liam neeson turns out to be the bad guy"
5118,Sreehari Madhu,Thor the Tubby .
5119,Sufiyan270,Ras al guuu
5120,chester bredes,Gonna watch this 💯
5121,Retro,too bad iron man dies in endgame
5122,Jonly Yonathan,The queen
5123,PaulAnthonyWalker Podcast,They can’t do it like Will Smith and tommy sorry but not even close
5124,Subhash Chand,It's all about Thor
5125,Nabeel Pathan,Screwed it by bringing that lady. Our old boy was the best.
5126,Jason Roberts,Hollywood......got no original ideas.....who we gonna cast in ET remake?
5127,Darth Magnusei,"Only reason to see this is
1. Liam Neeson 
2. Chris Hemsworth 
3. Aliens

Reasons not to see it 
4. No Will or Tommy 
5. Valkyrie Actress
6. Uk"
5128,Nematoda Rine,"Zeus, Thor and Valkyrie in MIB"
5129,Conner R,I posted a remix to the trailer but with lil nas x and boyboy west coast
5130,bivvy bingo,Thor and valkyrie
5131,Hawk Eye,EVERYBODY MISSED NICK FURY IN 1:01
5132,GCRX Gaming,didnt all the threats previous come from space? shouldnt it be intergalactic instead of international? lol
5133,Mad Zaki,Elsa Pataky dislike this
5134,suleman ahmad,Where is thor's hammer
5135,varun pal,Thor found new job 😂😂 now hammer is used in home decoration
5136,Klay Thompson,Can't risk reading comments because of Endgame spoilers
5137,Open N Review,Men in black??? Why is there a girl in the film?? Hollywood ruins a good movie with the PC culture
5138,Scott Warnick,@Open N Review that's not how it works anymore and you know that
5139,Open N Review,Exactly !!!
5140,Scott Warnick,@Open N Review so what you are telling me is women should have no business being in a lead role in a Men In Black movie correct
5141,Open N Review,They are but woman are not needed here. There are plenty of other movies they can play in. Again... ruined a good movie
5142,Scott Warnick,@Open N Review not every movie has to just about men. Besides men in black is an organization not just about guys woman can also join. Woman are just as talented as guys in the field work
5143,Lan the Bront,men in thor
5144,sunil deshpande,The reason why Thor quit assguard
5145,Harshal Vaidya,It will be so awesome if Will Smith has a secret cameo. I mean that guy made MIB what it is!
5146,Zahit Thrash,Will?????????????
5147,Arghyajit Das,👎
5148,Vikas Samal,Yes she is a queen now😂
5149,IMMORTAL MEDIA,Rip thor
5150,saurabh negi,I was skeptical about the movie because i dont see Will Smith. But it looks interesting.
5151,Zombie_Corp,Se ve muy interesante
5152,Draz'Gul,"Endgame spoilersssssssss








The leader of Asgard and thin Thor. Nice"
5153,Achmad Bintang,"Wow, thor and valkyrie"
5154,Anjali Sharma,"It,s good but I miss old mib  agents 😣😀"
5155,KSXTech,finally got rid of that fat....😉
5156,TANAY MISHRA,Only for you chris ❤️
5157,Kevin Rana,1:30 yea she's the queen of Asgard
5158,Wisnu Wisnu,whaaaaaat asgardian people?? with new job. this is jokes to hard
5159,theboibc052,1:30 are u da queen
5160,tinton bagustriyoko,Where is the immigrants song soundtrack?
5161,I am Sauce,Uhhh I don’t know
5162,ALL created by One GOOD God.,Looking good so far!  I like the spin...
5163,Mr Rajput,2:11 finally he said it.....
5164,EDWARD Hohenheim,"Asgardian of the Galaxy is working as MIB   





R.I.P stormbreaker"
5165,Aleena A,Kristof ref oh i thought smth happened in endgame because i havent watched it yet
5166,Kristof ref,"Aleena A that call a ""joke"""
5167,Aleena A,EDWARD Hohenheim what happens to stormbreaker?! Actually no dont tell me
5168,Silalahi Hylda,"Starring : 
Thor the God of Thunder
Valkryie the Servant of the Throne"
5169,Addicted To Movies,Hyped
5170,Gustavo Villafana,Thor and Valkyrie. Just like Quicksilver and Scarlet Witch in Godzilla( incest btw)
5171,Scyfer,"I want to read the comment section, but im pretty sure that the Avengers End Game Spoiler people are down there."
5172,junior,This comment section is just full of avengers spoilers smh
5173,Putri Milyani,Ikr🤣
5174,Samuel Nathan,This dumb fratboy Thor and Intelligent lone Valkyrie not MiB
5175,#Official_Comment by Om,"We are men in black
*No, you are not* . Only will Smith can say this."
5176,Sidhanth Chaudhary,Thor and Valkyrie doing a part time job during those 5 years
5177,Putri Milyani,The only one i think is 'what did thor do to lose weight' 🤣
5178,Mariana Hidden,X2
5179,Afdzal Adib Enterprise,Is this asgardian?
5180,Gamer Dan,Looks pretty good
5181,Javit soi,Valkyrie and thor
5182,Arie Adithya,we're good *hulkthumb*
5183,AIL,No Will Smith no MIB😥
5184,BHAI Bhai,No will Smith no mib 😔
5185,Diva Alfirman,"So basically:



Avengers: Secret Invasion, but without the other Avengers? 
Except Thor, of course"
5186,Estevan Garcia,And Valkyrie
5187,Rashonda Elem,Not sure anyone’s said it yet but I’m thinking Hemsworth is a bad guy in the end... I could be wrong but...
5188,A1sausie,👎🏻👎🏻
5189,solo copper,It’s men in black why is there a WOMAN feminist just ruin everything look the female cast of ghost busters smh
5190,Alwi Algebra Music,"Agent H : we are men in black...
Agent M : yeah...,wait what? I thought you joined the guardian of galaxy?
Agent H : right. this also includes the guardian of galaxy's work.
Agent M : and where is quill, drax, rocket, groot, and mantis?
Agent H : don't worry, they will appear. but in the next sequel.
😂😂"
5191,Goose Neck,Who's protecting Asgard?
5192,Darkmoon 1223,They can take the form of anyone hmmm skrulls? This movie is based on Marvel isn't it?
5193,Ann Zhong,I want tommy lee jones and will Smith....
5194,DIPAYAN MITRA,That's look pretty good
5195,Toon World,We want *WILL SMITH*
5196,Gully Boy,Where is will smith?  💔💔💔💔💔💔💔💔💔💔💔
5197,ARNAV _1004 gupta,"Thor and Valkriye together 
Love to Chris HEMSWORTH💓💕💓💓💘💖💖❤️💖💗💕💘💕💓💕💓💕💓💘💕💗💖❤️❤️❤️"
5198,CCBro,I mean they could’ve had a little of will smith since he’s the og of MIB🤔
5199,Mystery Booty hole,Can they at least make it to protectors in black
5200,Poison Clawz,So Thor Took A Leave From The Work Of God Of Thunder 😂
5201,Anggandanu Prawira,"More like ""Asgardian in Black"""
5202,Taufik Rahman,This is not MIB without Will Smith and Tommy Lee Jones. They are true MIB. 😐
5203,TGAmier,This is mib four they will probably make a cameo or something
5204,iam alone,MIW MAIN IN WHITE
5205,Drakozash,So they brought back Emma Thompson but not Will Smith....yeah that makes sense.
5206,OHM.R 1200,This looks promising. I just hope it doesn't turnout to be 'sjw international'
5207,Were that inv at Jnig,Do they not get the name MEN in black
5208,Amit Pande,It’s just incomplete without the legend Will smith
5209,Federation Music,Pitbull song please
5210,Handsome Edgar,This isn't the Men in Black 4
5211,Shivam Gamer,"Whatever you say I'll take Tessa Thompson and Chris Hemsworth 
As
Valkyrie and Thor 😌"
5212,Doel Johon,trained by Bryan Mills a.k.a. Ra's Al Ghul
5213,Kyle X,What is this cringey music??
5214,Sasuga Erina-sama,thor looks slim in this one. great
5215,ArcaniaHeart,MIB Won't be the same anymore.
5216,Abhishek The Dreamer,I love this 3000!!!😝
5217,Abhishek The Dreamer,But where is the Mjolnir???
5218,Lalnun Thara,Avengers in black... Hahaha
5219,Joshua Ramirez,She’s bad
5220,Dbzfanofgoku,Wtf is up with the fortnite like weapons
5221,Essence Headley,NO!!!!!!!!
5222,pink_gooseberry,I really don't know why this is being made
5223,Lezivate,"The worst time to drop a movie, no one's gonna watch, everyone's going to endgame"
5224,Lezivate,@Dachief54 oh lol
5225,Dachief54,"... What? It goes into theaters June 14th. This isn't a release trailer, still got a month and a half left til this drops. Plenty of time inbetween Endgame and this."
5226,Jay Hill,I'm hopeful.
5227,Vipul Desai,Title must be Girl In Black
5228,acousticsoothing,Thor 4: Asgardians in Black
5229,Ankit Singh,Men in women in black (MIB) 😂😂
5230,Vipul Desai,This is a Girl in Black
5231,Miguel Ivan Pogi,So Thor and Valkyrie had a part time Job. Maybe hulk became a celebrity
5232,24kam48,This is the time line that branched off when the avengers  took the  infinity stones.
5233,Sandile Ngwenya,"""Men In Black has been compromised"".
""Shield has been compromised""."
5234,Scripty Vijay,Valkyie & thor 🤣🤣🤣 👌
5235,Mayank Bachheti,Who is after endgame
5236,fraeofficial,"Me: Ok. I'll give it a try.
Trailer: 2:11
Me: nevermind.


Gonna be one of those woke reboots I see."
5237,fajar famy,Where the strom brekers
5238,affxn 29,"Kids: Chris Hemsworth!
Legends:Thorrrrrr!!!!!!!!"
5239,Boonyakiet Suebpa,New Asgard never look the same.
5240,kamu temanku,am I watching another movie of MCU?
5241,Harshil Patel,whats the song's name at 2:03
5242,Teguh Wicaksono,Thor and Valkyrie?
5243,Fox Mulder,I'm glad a black woman could win everything #woke
5244,Mbappe Kylian,He did eat salad... thank god
5245,Sachi,So Tessa Thomson is a Man ?
5246,Uz Fokus,I miss this Thor😢
5247,Prashant Kumar,You look like melted ice-cream 😂
5248,Randy Dang,Thor has been eating his salads...he lost a significant amount of weight
5249,John Christian De Guzman,I only see a man in black
5250,Aban Don Roby,"sorry guyz, it is another universe...!!!"
5251,Abu Noura,Thor and Valkyrie is back 👍
5252,Sanjay Jayan,Men in white
5253,Daniel ErickBhirawa,Wathefak Thor and Valkyrie doing here. Wrong set?
5254,Gian Kendall,There better be a Will Smith cameo
5255,Tanmoy Dasgupta,So this is what happens to Thor and Valkyrie after Endgame
5256,Ꮆ尺卂ᐯ乇,Thor and Valkyrie
5257,David JJ,哈哈哈哈，帅。。。
5258,Maurice Moe Cannon,Dang will Smith did. Ot want to do men and black 4 smh
5259,Julian Mendoza,IT IS NOT THE REAL MIB IF WILL SMITH IS NOT IN IT !!!!!!!! SERIOUSLY PEOPLE
5260,Arjun Singh,Thor=mein in black
5261,BlueNuggetBoy Productions,Looks like Thor lost some weight
5262,Runaway Springroll,1:30 the only survivor of the race of the Ugandan knuckles and he's still looking for da queen.
5263,Mothmanimations,Liam Neeson
5264,Lakshay Raj Rathore,Someone give this man a hammer
5265,Dark Lord,Give this man a like (fine I'll do it myself)
5266,Jim Osman,So....Thor and Valkyrie become Men In Black after Endgame?
5267,bhabin rai,Without thor hammer it will be strange to watch his move....lol
5268,Bayronix,This isn’t asgardians of the galaxy...
5269,George Palar,What about the attacks on wookie
5270,Jitendra Pratap,Yeah show the complete movie here.
5271,Monica,Wait what.... 👀👀👀👀
5272,Sania,Thank goodness he ate salads. They did Thor dirty in Endgame. Ruined him 3000
5273,Anubhav Jais,Thank you for giving away nothing about the movie you bastards
5274,Konka Bass,I lowkey do not know how they even got away with this casting. It's verging on IP infringement.
5275,Think Crimson,"I was thinking about not watching this but seeing valkryie and thor be in men in black
(For some reason there is a woman but thats not a problem. It kind is but no sexiest im just saying it men in black so it should have men but im not saying woman cant fight aliens. Im sure she will kick alien butt. But its still called men in black and i will still watch and i am sure she will do a great job and plz dont hate me)  Two superheros in movies are the best thing ever"
5276,Ndaru 45,What song?
5277,Ol App,"Thor and Valkirie, A marvel studios spin-off"
5278,Gazella Manami {Officially Sexy},I dont know
5279,P. D.,This movie going to flop so hard. No one asked for this crap.
5280,Nasim Farooqui,OMG: Thor and valcary
5281,Matt Bucchiotti,MEN in black
5282,Dipo Genius,Thor look so slim😝
5283,Goutam Thukral,Aussie in London. Good on ya mate!
5284,valdi vall,"This movie better shows the missing of Agent J and K, and FRANK THE PUG 

Aint no men in Black with those two agents"
5285,Miranda Grant,"Not sure about J & K, but the pug is in one of the trailers. (:"
5286,Mew Two,"""The men and women... In black'

Another SJWs agenda?"
5287,Deadwood Manado,Thor lose some weight
5288,Victor Creed,"Can't get enough Avengers,try out men in black lol"
5289,WORLD AFFAIRS,THOR RAGNAROK:MODERN AGE REVISIT
5290,Tia Sam,This is gonna be so bad. It made me cringe so hard. They should have chosen better people and waited longer till they got something better.
5291,Basudev Rajak,Who is here just *chris hemsworth*
5292,GSmith Productions,SJW MIB lol!
5293,DOS Dreamz,How did he lose all his body fat?
5294,Zain Qureshi,Wow Thor lost weight
5295,Yoshimation,Y’all ever heard of a female man in black?? Neither have i
5296,Mr Critical,First movie had a female MIB member and the third one had Agent O
5297,I EAT ASS,Looks terrible.
5298,sunny,Where is mf frank?
5299,PurpleFX,Anyone else saw a trailer for this movie in the theatre? (Avengers End Game anyone?)
5300,Odin Thorson,"Well, I'm glad Hemsworth managed to lose the weight for THIS movie."
5301,Omie Cruz,"The time when bifrost was destroyed.  9 realms scrambles.
RESULT = MIB"
5302,Madhan Jr.,"Noone:
Feminist: 2:12"
5303,STEVE WESKER,Looking forward to this I was never really a fan of the trilogy but this looks fun.
5304,Magical Broom,Do yall have Malaysian car plate number in London?
5305,阿拉花瓜,Thor and Valkyrie
5306,Tanuj Thakkar,"Sopiler




1:30 
Yes she is queen of new Asgard  in endgame"
5307,Tanuj Thakkar,@Krishna Vijay Naidu I didnt see yours 😅😅
5308,Krishna Vijay Naidu,I wrote the same thing then I saw your comment
5309,thisisyourboss,"1:45: They can take form of anyone
Chris: i havent seen that before.

You sure about that? Lol 😂 throwback to Loki"
5310,TrevX2001,Trailer ruined the movie. Liam Neilson will end up being an alien villain. Goodnight.
5311,Nur Ikhwan,Asgardian in actions
5312,M A,"Agent H: ""We are the Men In Black....the Men AND Women in Black.""
But sometimes they call us...""The Revengers""  :)"
5313,1000 subs with no videos please?,"nobody:

J.K Rowling: chris hemsworth is actually part black"
5314,Joseph Hernandez,No more JK Rowling jokes
5315,Dante's Inferno,@Guile Gamèche I hate you for that pun. Here have this cookie 🍪
5316,AGA oi,And part gay
5317,Guile Gamèche,She would be rowling in her grave if she read that!
